Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,01,Live animals,1,No Quantity,,,635945091,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,0,World,WLD,01,Live animals,1,No Quantity,,,578096126,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,4,Afghanistan,AFG,01,Live animals,1,No Quantity,,,20607,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,12,Algeria,DZA,01,Live animals,1,No Quantity,,,538196,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,31,Azerbaijan,AZE,01,Live animals,1,No Quantity,,,252936,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,32,Argentina,ARG,01,Live animals,1,No Quantity,,,200223,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,32,Argentina,ARG,01,Live animals,1,No Quantity,,,1278963,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,36,Australia,AUS,01,Live animals,1,No Quantity,,,42561969,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,36,Australia,AUS,01,Live animals,1,No Quantity,,,27437352,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,40,Austria,AUT,01,Live animals,1,No Quantity,,,3768,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,40,Austria,AUT,01,Live animals,1,No Quantity,,,609037,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,48,Bahrain,BHR,01,Live animals,1,No Quantity,,,84340,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,48,Bahrain,BHR,01,Live animals,1,No Quantity,,,700209,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,50,Bangladesh,BGD,01,Live animals,1,No Quantity,,,927919,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,52,Barbados,BRB,01,Live animals,1,No Quantity,,,3802,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,56,Belgium,BEL,01,Live animals,1,No Quantity,,,2879465,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,56,Belgium,BEL,01,Live animals,1,No Quantity,,,7596322,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,60,Bermuda,BMU,01,Live animals,1,No Quantity,,,5152,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,76,Brazil,BRA,01,Live animals,1,No Quantity,,,93026,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,76,Brazil,BRA,01,Live animals,1,No Quantity,,,386229,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,84,Belize,BLZ,01,Live animals,1,No Quantity,,,212899,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,92,Br. Virgin Isds,VGB,01,Live animals,1,No Quantity,,,3329,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,100,Bulgaria,BGR,01,Live animals,1,No Quantity,,,14322,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,100,Bulgaria,BGR,01,Live animals,1,No Quantity,,,32540,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,112,Belarus,BLR,01,Live animals,1,No Quantity,,,2945618,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,120,Cameroon,CMR,01,Live animals,1,No Quantity,,,25475,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,120,Cameroon,CMR,01,Live animals,1,No Quantity,,,40687,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,124,Canada,CAN,01,Live animals,1,No Quantity,,,448864,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,124,Canada,CAN,01,Live animals,1,No Quantity,,,2400550,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,136,Cayman Isds,CYM,01,Live animals,1,No Quantity,,,4698,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,144,Sri Lanka,LKA,01,Live animals,1,No Quantity,,,1012562,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,152,Chile,CHL,01,Live animals,1,No Quantity,,,13138,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,156,China,CHN,01,Live animals,1,No Quantity,,,2034112,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,170,Colombia,COL,01,Live animals,1,No Quantity,,,10879,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,188,Costa Rica,CRI,01,Live animals,1,No Quantity,,,285555,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,192,Cuba,CUB,01,Live animals,1,No Quantity,,,10091,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,196,Cyprus,CYP,01,Live animals,1,No Quantity,,,12538,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,196,Cyprus,CYP,01,Live animals,1,No Quantity,,,204146,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,203,Czech Rep.,CZE,01,Live animals,1,No Quantity,,,126137,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,203,Czech Rep.,CZE,01,Live animals,1,No Quantity,,,454718,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,208,Denmark,DNK,01,Live animals,1,No Quantity,,,1090625,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,208,Denmark,DNK,01,Live animals,1,No Quantity,,,4979792,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,218,Ecuador,ECU,01,Live animals,1,No Quantity,,,71159,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,222,El Salvador,SLV,01,Live animals,1,No Quantity,,,118316,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,233,Estonia,EST,01,Live animals,1,No Quantity,,,38239,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,238,Falkland Isds (Malvinas),FLK,01,Live animals,1,No Quantity,,,6198,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,246,Finland,FIN,01,Live animals,1,No Quantity,,,32,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,246,Finland,FIN,01,Live animals,1,No Quantity,,,2719946,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,251,France,FRA,01,Live animals,1,No Quantity,,,34466203,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,01,Live animals,1,No Quantity,,,53174568,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,276,Germany,DEU,01,Live animals,1,No Quantity,,,9687932,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,01,Live animals,1,No Quantity,,,24224391,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,288,Ghana,GHA,01,Live animals,1,No Quantity,,,59501,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,288,Ghana,GHA,01,Live animals,1,No Quantity,,,96252,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,300,Greece,GRC,01,Live animals,1,No Quantity,,,425293,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,300,Greece,GRC,01,Live animals,1,No Quantity,,,1231119,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,328,Guyana,GUY,01,Live animals,1,No Quantity,,,14975,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,01,Live animals,1,No Quantity,,,20140,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,01,Live animals,1,No Quantity,,,45603409,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,348,Hungary,HUN,01,Live animals,1,No Quantity,,,323170,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,348,Hungary,HUN,01,Live animals,1,No Quantity,,,8093589,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,352,Iceland,ISL,01,Live animals,1,No Quantity,,,128841,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,360,Indonesia,IDN,01,Live animals,1,No Quantity,,,26451,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,360,Indonesia,IDN,01,Live animals,1,No Quantity,,,1839986,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,364,Iran,IRN,01,Live animals,1,No Quantity,,,8175945,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,368,Iraq,IRQ,01,Live animals,1,No Quantity,,,444741,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,372,Ireland,IRL,01,Live animals,1,No Quantity,,,432637085,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,01,Live animals,1,No Quantity,,,165050067,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,376,Israel,ISR,01,Live animals,1,No Quantity,,,3862379,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,381,Italy,ITA,01,Live animals,1,No Quantity,,,1274574,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,381,Italy,ITA,01,Live animals,1,No Quantity,,,7183987,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,384,Côte d'Ivoire,CIV,01,Live animals,1,No Quantity,,,163809,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,392,Japan,JPN,01,Live animals,1,No Quantity,,,133662,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,392,Japan,JPN,01,Live animals,1,No Quantity,,,35102814,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,398,Kazakhstan,KAZ,01,Live animals,1,No Quantity,,,1796,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,400,Jordan,JOR,01,Live animals,1,No Quantity,,,5347,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,400,Jordan,JOR,01,Live animals,1,No Quantity,,,419546,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,404,Kenya,KEN,01,Live animals,1,No Quantity,,,328511,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,404,Kenya,KEN,01,Live animals,1,No Quantity,,,1157708,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,410,Rep. of Korea,KOR,01,Live animals,1,No Quantity,,,12794,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,01,Live animals,1,No Quantity,,,4246788,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,414,Kuwait,KWT,01,Live animals,1,No Quantity,,,2311154,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,417,Kyrgyzstan,KGZ,01,Live animals,1,No Quantity,,,180781,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,422,Lebanon,LBN,01,Live animals,1,No Quantity,,,430661,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,428,Latvia,LVA,01,Live animals,1,No Quantity,,,5703,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,434,Libya,LBY,01,Live animals,1,No Quantity,,,264129,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,440,Lithuania,LTU,01,Live animals,1,No Quantity,,,190,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,442,Luxembourg,LUX,01,Live animals,1,No Quantity,,,8924,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,442,Luxembourg,LUX,01,Live animals,1,No Quantity,,,12807,0
