Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,689137011265,0
H4,2012,2012,2012,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,481225753723,0
H4,2013,2013,2013,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,657222527853,0
H4,2013,2013,2013,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,548041853304,0
H3,2008,2008,2008,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,705344160844,0
H3,2008,2008,2008,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,482020961916,0
H3,2009,2009,2009,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,552042034589,0
H3,2009,2009,2009,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,359615540058,0
H3,2010,2010,2010,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,627617523093,0
H3,2010,2010,2010,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,422014118473,0
H3,2011,2011,2011,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,717606233152,0
H3,2011,2011,2011,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,517288693419,0
H2,2002,2002,2002,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,372059498514,0
H2,2002,2002,2002,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,285996254299,0
H2,2003,2003,2003,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,425369491041,0
H2,2003,2003,2003,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,312059899702,0
H2,2004,2004,2004,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,502886191564,0
H2,2004,2004,2004,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,355027953622,0
H2,2005,2005,2005,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,528460952104,0
H2,2005,2005,2005,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,392744018675,0
H2,2006,2006,2006,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,614811651266,0
H2,2006,2006,2006,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,458598557420,0
H2,2007,2007,2007,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,679917917606,0
H2,2007,2007,2007,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,454005489911,0
H1,1996,1996,1996,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,282720141312,0
H1,1996,1996,1996,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,253622091776,0
H1,1997,1997,1997,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,0,0,305135405241,0
H1,1997,1997,1997,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,0,0,278906969481,0
H1,1998,1998,1998,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,0,0,311879512480,0
H1,1998,1998,1998,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,0,0,270295285330,0
H1,1999,1999,1999,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,315333083128,0
H1,1999,1999,1999,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,265442493128,0
H1,2000,2000,2000,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,374702690648,0
H1,2000,2000,2000,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,294899046600,0
H1,2001,2001,2001,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,358702944795,0
H1,2001,2001,2001,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,279425458536,0
H0,1993,1993,1993,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,195956785152,0
H0,1993,1993,1993,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,167411728384,0
H0,1994,1994,1994,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,223955009536,0
H0,1994,1994,1994,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,198797344768,0
H0,1995,1995,1995,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,261456478208,0
H0,1995,1995,1995,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,TOTAL,ALL COMMODITIES,1,No Quantity,,,234372202496,0
