Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,01,Live animals,1,No Quantity,,,815365,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,02,Meat and edible meat offal,1,No Quantity,,,504131,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,6805839,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,18740,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,7667853,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,431906,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,06,Live trees and other plants;,1,No Quantity,,,183408,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,964589,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,26869664,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,09,"Coffee, tea, matΦ and spices",1,No Quantity,,,5318460,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,10,Cereals,1,No Quantity,,,500657078,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,11,Products of the milling industry; malt; starches; inulin,1,No Quantity,,,656343,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,12,Oil seeds and oleaginous fruits,1,No Quantity,,,37756416,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,7452391,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,14,Vegetable plaiting materials; vegetable products nes,1,No Quantity,,,9,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,15,Animal or vegetable fats and oils,1,No Quantity,,,223563381,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,1376508,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,17,Sugars and sugar confectionery,1,No Quantity,,,15495578,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,18,Cocoa and cocoa preparations,1,No Quantity,,,14613574,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,19,"Preparations of cereals, flour, starch or milk; bakers' wares",1,No Quantity,,,6453606,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,20,"Preparations of vegetables, fruit or nuts",1,No Quantity,,,20233524,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,21,Miscellaneous edible preparations,1,No Quantity,,,118256631,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,21,Miscellaneous edible preparations,1,No Quantity,,,1993,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,22,"Beverages, spirits and vinegar",1,No Quantity,,,5240135,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,23,Residues and waste from the food industries,1,No Quantity,,,412219217,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,13781874,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,26,"Ores, slag and ash",1,No Quantity,,,3420298,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,26,"Ores, slag and ash",1,No Quantity,,,733471,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,172651506,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,28,Inorganic chemicals,1,No Quantity,,,224077218,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,28,Inorganic chemicals,1,No Quantity,,,95694356,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,29,Organic chemicals,1,No Quantity,,,728809315,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,29,Organic chemicals,1,No Quantity,,,195971094,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,30,Pharmaceutical products,1,No Quantity,,,428713977,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,30,Pharmaceutical products,1,No Quantity,,,8393,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,31,Fertilizers,1,No Quantity,,,63837026,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,31,Fertilizers,1,No Quantity,,,27184630,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,32,Tanning or dyeing extracts,1,No Quantity,,,115637985,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,32,Tanning or dyeing extracts,1,No Quantity,,,29490,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,91837271,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,11103,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,34,"Soap, organic surface-active agents",1,No Quantity,,,80467800,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,34,"Soap, organic surface-active agents",1,No Quantity,,,21,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,166471128,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,36,Explosives; pyrotechnic products; matches,1,No Quantity,,,1873332,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,37,Photographic or cinematographic goods,1,No Quantity,,,58504642,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,38,Miscellaneous chemical products,1,No Quantity,,,393900605,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,38,Miscellaneous chemical products,1,No Quantity,,,200,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,39,Plastics and articles thereof,1,No Quantity,,,434195455,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,39,Plastics and articles thereof,1,No Quantity,,,97604,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,40,Rubber and articles thereof,1,No Quantity,,,200671117,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,40,Rubber and articles thereof,1,No Quantity,,,15950,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,41,Raw hides and skins (other than fur skins) and leather,1,No Quantity,,,107534,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,42,Articles of leather; saddlery and harness,1,No Quantity,,,17167302,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,43,Fur skins and artificial fur; manufactures thereof,1,No Quantity,,,7700,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,9294971,0
