Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,0,World,WLD,72,Iron and steel,1,No Quantity,,,1225923848,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,0,World,WLD,72,Iron and steel,1,No Quantity,,,385532737,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,32,Argentina,ARG,72,Iron and steel,1,No Quantity,,,10108233,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,40,Austria,AUT,72,Iron and steel,1,No Quantity,,,2316859,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,56,Belgium,BEL,72,Iron and steel,1,No Quantity,,,43708392,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,56,Belgium,BEL,72,Iron and steel,1,No Quantity,,,500000,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,76,Brazil,BRA,72,Iron and steel,1,No Quantity,,,152349846,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,76,Brazil,BRA,72,Iron and steel,1,No Quantity,,,1719731,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,112,Belarus,BLR,72,Iron and steel,1,No Quantity,,,3101,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,124,Canada,CAN,72,Iron and steel,1,No Quantity,,,9051698,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,152,Chile,CHL,72,Iron and steel,1,No Quantity,,,6221422,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,156,China,CHN,72,Iron and steel,1,No Quantity,,,191058949,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,156,China,CHN,72,Iron and steel,1,No Quantity,,,33904710,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,170,Colombia,COL,72,Iron and steel,1,No Quantity,,,107605174,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,188,Costa Rica,CRI,72,Iron and steel,1,No Quantity,,,208232,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,192,Cuba,CUB,72,Iron and steel,1,No Quantity,,,34061922,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,214,Dominican Rep.,DOM,72,Iron and steel,1,No Quantity,,,1824341,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,218,Ecuador,ECU,72,Iron and steel,1,No Quantity,,,3813231,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,218,Ecuador,ECU,72,Iron and steel,1,No Quantity,,,500000,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,222,El Salvador,SLV,72,Iron and steel,1,No Quantity,,,5692369,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,246,Finland,FIN,72,Iron and steel,1,No Quantity,,,87379,0
