"code","iso"
"4","AFG"
"472","NULL"
"8","ALB"
"12","DZA"
"16","ASM"
"20","AND"
"24","AGO"
"660","AIA"
"10","ANT"
"28","ATG"
"899","NULL"
"32","ARG"
"51","ARM"
"533","ARB"
"36","AUS"
"40","AUT"
"31","AZE"
"44","BHS"
"48","BHR"
"50","BGD"
"52","BRB"
"112","BLR"
"56","BEL"
"58","BEL"
"84","BLZ"
"204","BEN"
"60","BMU"
"64","BTN"
"68","BOL"
"70","BIH"
"72","BWA"
"74","BVT"
"80","NULL"
"86","IOT"
"92","VGB"
"76","BRA"
"96","BRN"
"100","BGR"
"837","NULL"
"854","BFA"
"108","BDI"
"471","NULL"
"116","KHM"
"120","CMR"
"124","CAN"
"132","CPV"
"129","NULL"
"136","CYM"
"140","CAF"
"148","TCD"
"152","CHL"
"156","CHN"
"344","HKG"
"446","MAC"
"162","CXR"
"166","CCK"
"170","COL"
"174","COM"
"178","COG"
"184","COK"
"188","CRI"
"384","CIV"
"191","HRV"
"192","CUB"
"196","CYP"
"203","CZE"
"200","CSK"
"408","PRK"
"180","COD"
"208","DNK"
"262","DJI"
"212","DMA"
"214","DOM"
"588","PAK"
"221","NULL"
"218","ECU"
"818","EGY"
"222","SLV"
"226","GNQ"
"232","ERI"
"233","EST"
"231","ETH"
"97","EU2"
"697","NULL"
"492","NULL"
"234","FRO"
"238","FLK"
"242","FJI"
"246","FIN"
"886","YEM"
"278","DDR"
"866","VDR"
"720","YMD"
"230","ETH"
"280","DEU"
"582","PCI"
"590","PAN"
"592","PCZ"
"868","VNM"
"717","NULL"
"835","NULL"
"810","SUN"
"890","YUG"
"836","NULL"
"260","ATF"
"251","FRA"
"838","NULL"
"254","GUF"
"258","PYF"
"583","FSM"
"266","GAB"
"270","GMB"
"268","GEO"
"276","DEU"
"288","GHA"
"292","GIB"
"300","GRC"
"304","GRL"
"308","GRD"
"312","GLP"
"316","GUM"
"320","GTM"
"324","GIN"
"624","GNB"
"328","GUY"
"332","HTI"
"334","HMD"
"336","VAT"
"340","HND"
"348","HUN"
"352","ISL"
"699","IND"
"356","IND"
"360","IDN"
"364","IRN"
"368","IRQ"
"372","IRL"
"376","ISR"
"381","ITA"
"388","JAM"
"392","JPN"
"400","JOR"
"398","KAZ"
"404","KEN"
"296","KIR"
"414","KWT"
"417","KGZ"
"473","NULL"
"418","LAO"
"428","LVA"
"422","LBN"
"426","LSO"
"430","LBR"
"434","LBY"
"440","LTU"
"442","LUX"
"450","MDG"
"454","MWI"
"458","MYS"
"462","MDV"
"466","MLI"
"470","MLT"
"584","MHL"
"474","MTQ"
"478","MRT"
"480","MUS"
"175","MYT"
"484","MEX"
"496","MNG"
"499","MNE"
"500","MSR"
"504","MAR"
"508","MOZ"
"104","MMR"
"580","MNP"
"516","NAM"
"520","NRU"
"524","NPL"
"530","ANT"
"532","ANT"
"528","NLD"
"536","NULL"
"540","NCL"
"554","NZL"
"558","NIC"
"562","NER"
"566","NGA"
"570","NIU"
"574","NFK"
"637","NULL"
"290","NULL"
"579","NOR"
"275","PSE"
"527","NULL"
"512","OMN"
"577","NULL"
"490","NULL"
"568","NULL"
"586","PAK"
"585","PLW"
"591","PAN"
"598","PNG"
"600","PRY"
"459","NULL"
"604","PER"
"608","PHL"
"612","PCN"
"616","POL"
"620","PRT"
"634","QAT"
"410","KOR"
"498","MDA"
"636","NULL"
"638","REU"
"642","ROM"
"643","RUS"
"646","RWA"
"647","NULL"
"461","NULL"
"654","SHN"
"659","KNA"
"658","KNA"
"662","LCA"
"666","SPM"
"670","VCT"
"882","WSM"
"674","SMR"
"678","STP"
"457","NULL"
"682","SAU"
"686","SEN"
"688","SRB"
"891","SCG"
"690","SYC"
"694","SLE"
"698","NULL"
"702","SGP"
"703","SVK"
"705","SVN"
"711","ZAF"
"90","SLB"
"706","SOM"
"710","ZAF"
"239","SGS"
"724","ESP"
"839","NULL"
"144","LKA"
"736","SDN"
"740","SUR"
"748","SWZ"
"752","SWE"
"757","CHE"
"760","SYR"
"762","TJK"
"807","MKD"
"764","THA"
"626","TMP"
"768","TGO"
"772","TKL"
"776","TON"
"780","TTO"
"788","TUN"
"792","TUR"
"795","TKM"
"796","TCA"
"798","TUV"
"800","UGA"
"804","UKR"
"784","ARE"
"826","GBR"
"834","TZA"
"581","UMI"
"858","URY"
"849","NULL"
"850","VIR"
"842","USA"
"841","USA"
"860","UZB"
"548","VUT"
"862","VEN"
"704","VNM"
"876","WLF"
"879","NULL"
"732","ESH"
"0","WLD"
"887","YEM"
"894","ZMB"
"716","ZWE"
